list-none-m,4,1000,4,12000,18592906,1549,2862
list-none-m,8,1000,4,24000,55651882,2318,12056
list-none-m,12,1000,4,36000,120348403,3343,29778
list-none-m,1,1000,8,3000,886402,295,39
list-none-m,2,1000,8,6000,6264395,1044,459
list-none-m,4,1000,8,12000,9640377,803,1127
list-none-m,8,1000,8,24000,23380235,974,3864
list-none-m,12,1000,8,36000,43322886,1203,8545
list-none-m,1,1000,16,3000,644236,214,37
list-none-m,2,1000,16,6000,2069147,344,139
list-none-m,4,1000,16,12000,6326765,527,581
list-none-m,8,1000,16,24000,11037265,459,1363
list-none-m,12,1000,16,36000,18238097,506,2737
list-none-s,1,1000,4,3000,1127184,375,0
list-none-s,2,1000,4,6000,5147808,857,0
list-none-s,4,1000,4,12000,20272146,1689,0
list-none-s,8,1000,4,24000,48129982,2005,0
list-none-s,12,1000,4,36000,101205292,2811,0
list-none-s,1,1000,8,3000,655777,218,0
list-none-s,2,1000,8,6000,5822398,970,0
list-none-s,4,1000,8,12000,10068647,839,0
list-none-s,8,1000,8,24000,19561421,815,0
list-none-s,12,1000,8,36000,35115728,975,0
list-none-s,1,1000,16,3000,430277,143,0
list-none-s,2,1000,16,6000,3296230,549,0
list-none-s,4,1000,16,12000,4513334,376,0
list-none-s,8,1000,16,24000,8662584,360,0
list-none-s,12,1000,16,36000,14668417,407,0
